Best Multi-Layered Perceptron
4,4
13,13
1,7
2,2
16,18
17,17
11,11
23,23
22,22
21,20
2,2
9,9
11,11
19,19
4,4
5,5
1,6
19,8
2,2
0,0
6,16
0,0
25,25
17,17
9,9
1,1
22,21
8,8
5,24
6,12
3,3
13,23
10,17
14,16
10,10
17,10
16,18
19,9
15,15
5,5
16,16
11,11
13,13
5,1
22,13
7,10
11,25
14,14
24,24
0,0
7,7
3,3
22,22
20,20
3,3
2,14
0,25
9,9
15,15
14,14
12,7
11,2
11,11
22,12
0,0
6,6
2,6
20,20
12,12
13,13
24,24
22,22
21,21
8,8
22,21
18,18
15,15
17,17
2,6
19,19
##################CONFUSION MATRIX############################
[[4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
 [0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 3 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
 [0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 3 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]]
Precision
[1.         0.5        0.75       1.         1.         1.
 0.25       0.33333333 0.66666667 0.75       0.33333333 1.
 0.33333333 0.75       0.66666667 1.         0.33333333 0.75
 0.33333333 1.         0.66666667 0.33333333 1.         0.5
 0.66666667 0.33333333]
Recall
[0.8        0.33333333 0.5        1.         1.         0.5
 0.33333333 0.5        1.         1.         0.5        0.66666667
 0.5        0.75       0.66666667 1.         0.33333333 0.75
 1.         0.5        1.         0.5        0.42857143 1.
 1.         1.        ]
F1 by class
[0.88888889 0.4        0.6        1.         1.         0.66666667
 0.28571429 0.4        0.8        0.85714286 0.4        0.8
 0.4        0.75       0.66666667 1.         0.33333333 0.75
 0.5        0.66666667 0.8        0.4        0.6        0.66666667
 0.8        0.5       ]
Accuracy
0.6625
Macro average F1
0.6512210012210013
Weighted average F1
0.6709126984126985
