Gaussian Naive Bayes Classifier
9,9
4,0
3,4
9,5
9,9
3,1
1,1
3,3
2,8
9,9
0,0
1,1
3,3
9,9
9,0
3,3
9,9
9,9
7,7
1,1
6,6
1,1
2,2
7,7
9,9
2,8
3,1
1,1
2,8
2,2
9,9
2,8
2,8
9,9
2,8
1,1
9,9
9,9
1,1
1,1
3,1
7,7
4,0
9,5
9,9
9,5
3,1
3,1
9,5
1,1
1,8
0,9
9,5
9,9
1,0
0,1
8,8
9,5
9,4
1,1
1,1
9,9
3,0
0,0
9,9
1,0
1,1
9,4
0,0
1,9
3,3
0,1
1,1
9,9
5,9
2,8
9,4
1,1
3,4
4,9
1,7
1,1
2,0
5,5
4,0
9,6
9,9
0,9
7,7
9,6
8,8
9,5
1,1
2,1
9,5
1,1
9,9
9,9
4,0
0,0
0,9
2,8
9,8
9,2
9,4
9,5
9,8
9,5
5,5
3,4
1,1
9,9
9,2
9,5
8,8
5,9
2,8
0,4
2,8
9,9
1,1
9,5
5,5
9,9
3,1
2,1
9,6
9,9
4,4
9,9
1,1
1,1
2,8
1,1
9,9
1,1
4,4
9,9
0,0
2,2
9,5
0,0
1,1
9,9
9,4
4,4
9,9
9,9
9,9
1,1
2,1
5,5
9,9
1,1
9,5
3,0
1,1
5,5
9,5
3,3
0,0
2,8
0,0
1,1
1,1
1,1
1,1
1,1
9,9
0,0
5,5
9,9
9,5
4,0
4,4
1,1
1,1
5,0
8,8
9,5
9,9
1,1
9,4
9,9
4,4
1,1
9,9
9,4
4,9
3,3
1,1
9,9
1,1
2,9
5,5
1,7
9,9
7,7
9,9
9,9
9,9
0,0
9,9
0,0
5,0
5,1
2,8
1,1
5,5
3,4
4,4
5,5
0,0
0,0
9,9
2,0
2,8
1,1
1,1
9,9
2,8
1,1
9,9
4,4
9,4
3,3
2,8
9,5
0,4
1,1
9,9
1,1
4,9
4,9
1,1
9,6
9,5
9,9
2,2
1,1
2,2
0,0
9,9
9,9
1,1
1,1
5,5
4,0
9,9
1,7
9,9
1,1
1,1
1,1
9,9
0,0
9,9
3,3
1,1
1,1
9,4
1,1
1,1
1,1
9,4
9,5
9,9
2,2
7,7
1,9
9,5
4,4
5,9
1,1
7,7
1,0
9,5
2,8
9,9
9,5
0,0
5,4
9,4
6,6
1,3
9,9
1,0
1,1
9,5
1,1
1,3
9,9
2,2
2,8
1,1
9,9
1,1
0,0
8,8
9,9
3,0
9,5
9,9
4,5
1,1
1,1
1,1
7,7
8,6
3,1
9,9
9,9
0,1
9,4
1,1
2,8
9,5
9,9
9,9
1,7
9,9
2,8
9,9
9,9
8,0
9,5
9,9
0,0
1,1
9,5
9,5
1,1
9,9
4,4
1,1
9,6
7,7
1,1
9,9
9,4
2,8
1,8
5,5
8,8
0,0
9,4
5,5
9,4
2,9
9,9
5,5
3,3
1,1
2,8
1,1
9,4
9,9
1,1
1,1
1,1
3,4
9,9
4,0
3,5
9,4
2,2
0,4
1,1
3,1
3,3
9,9
5,5
1,1
5,5
1,1
6,4
1,1
9,9
8,8
8,8
1,1
9,9
3,1
1,1
1,1
9,9
4,4
4,4
9,9
8,6
9,9
9,9
0,0
1,1
9,5
1,1
2,2
2,8
2,2
1,1
1,1
9,9
0,6
9,9
2,8
7,7
8,8
9,9
8,8
4,4
5,5
6,6
1,1
0,9
1,1
1,1
9,9
1,1
9,4
5,5
9,4
9,9
0,3
9,9
2,4
4,0
9,9
9,5
4,4
2,8
9,9
0,4
1,1
9,9
9,9
1,1
1,1
9,9
9,9
5,5
1,1
0,0
0,0
1,1
0,0
9,9
2,8
2,8
4,0
5,4
9,9
0,9
1,1
9,9
8,8
4,0
1,1
0,0
1,1
9,9
1,1
2,8
2,8
9,9
9,8
9,4
1,1
8,2
7,7
2,8
9,9
2,8
2,2
9,9
3,3
5,9
5,5
0,0
8,6
1,6
5,6
1,0
1,1
2,1
9,9
4,4
9,9
9,8
9,9
0,0
1,1
9,5
4,4
1,1
9,8
1,1
1,3
0,0
0,0
1,1
9,9
4,0
9,9
4,4
9,9
4,0
2,2
1,1
9,5
2,8
9,9
1,1
1,1
9,9
4,4
0,0
1,1
9,9
5,6
9,5
##################CONFUSION MATRIX############################
[[ 29   3   0   1   4   0   1   0   0   5]
 [  5 108   0   3   0   0   1   4   2   2]
 [  2   4  12   0   1   0   0   0  32   2]
 [  3   9   0  11   5   1   0   0   0   0]
 [ 12   0   0   0  17   1   0   0   0   4]
 [  2   1   0   0   2  19   2   0   0   4]
 [  0   0   0   0   1   0   3   0   0   0]
 [  0   0   0   0   0   0   0  11   0   0]
 [  1   0   1   0   0   0   3   0  11   0]
 [  1   0   2   0  20  34   5   0   5 108]]
Precision
[0.52727273 0.864      0.8        0.73333333 0.34       0.34545455
 0.2        0.73333333 0.22       0.864     ]
Recall
[0.6744186  0.864      0.22641509 0.37931034 0.5        0.63333333
 0.75       1.         0.6875     0.61714286]
F1 by class
[0.59183673 0.864      0.35294118 0.5        0.4047619  0.44705882
 0.31578947 0.84615385 0.33333333 0.72      ]
Accuracy
0.6326923076923077
Macro average F1
0.5375875292627172
Weighted average F1
0.6456398364390914
