Gaussian Naive Bayes Classifier
4,4
13,13
7,7
2,2
1,18
17,17
3,11
17,23
22,22
1,20
6,2
1,9
2,11
19,19
4,4
5,5
1,6
15,8
2,2
12,0
14,16
0,0
25,25
17,17
1,9
1,1
22,21
8,8
17,24
0,12
3,3
23,23
17,17
16,16
10,10
17,10
16,18
9,9
15,15
12,5
16,16
11,11
13,13
1,1
1,13
7,10
12,25
14,14
15,24
0,0
13,7
3,3
22,22
20,20
3,3
14,14
12,25
1,9
1,15
14,14
12,7
14,2
4,11
12,12
0,0
6,6
6,6
22,20
12,12
1,13
13,24
22,22
21,21
19,8
22,21
1,18
13,15
17,17
6,6
19,19
##################CONFUSION MATRIX############################
[[3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 2 0 0 0 0 1 0 0 3 0 0 0 2 0 1 0 0 2 0 1 0 0 0 0 0]
 [0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2]
 [0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0]
 [0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 0 0 0 0 0 1 1 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]]
Precision
[0.75       1.         0.5        1.         1.         0.5
 0.75       0.33333333 0.33333333 0.25       0.33333333 0.25
 0.66666667 0.5        1.         0.33333333 0.66666667 1.
 0.         1.         0.33333333 0.33333333 1.         0.5
 0.         0.33333333]
Recall
[0.75       0.16666667 0.66666667 0.75       0.66666667 1.
 0.75       0.5        1.         1.         1.         1.
 0.28571429 0.4        0.6        0.33333333 0.66666667 0.57142857
 1.         0.66666667 1.         1.         0.5        1.
 1.         1.        ]
F1 by class
[0.75       0.28571429 0.57142857 0.85714286 0.8        0.66666667
 0.75       0.4        0.5        0.4        0.5        0.4
 0.4        0.44444444 0.75       0.33333333 0.66666667 0.72727273
 0.         0.8        0.5        0.5        0.66666667 0.66666667
 0.         0.5       ]
Accuracy
0.55
Macro average F1
0.5321539571539572
Weighted average F1
0.5708486652236653
